frame,time_s,local_scale,cumulative_zoom_raw,cumulative_zoom_display,anchor_scale,zoom_velocity_log,zoom_velocity,zoom_jerk,correlation
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,0.016666666666666666,1.0009500777100457,0.0009496266718764424,0.0009496266718764424,1.0009500777100457,0.0009496266718764424,0.000950077710045738,0.0009496266718764424,0.6841019439697266
2,0.03333333333333333,0.9996680833988129,0.0006176549741822597,0.0006176549741822597,1.000327155931712,-0.0003319716976941826,-0.0003319166011871433,0.001281598369570625,0.7777257758011052
3,0.05,0.9992547956826577,-0.00012782714591908027,-0.00012782714591908027,0.9997789599014668,-0.00074548212010134,-0.0007452043173422629,0.0004135104224071574,0.7383493191518902
4,0.06666666666666667,0.9997341288012781,-0.00039373369465397514,-0.00039373369465397514,0.9992155010935034,-0.00026590654873489487,-0.0002658711987219009,0.00047957557136644514,0.6825406535466512
5,0.08333333333333333,0.9996379114431836,-0.0007558878213604217,-0.0007558878213604217,0.999383797899442,-0.00036215412670644655,-0.00036208855681640895,9.624757797155168e-05,0.7443950915925297
6,0.1,1.0006352307331918,-0.00012085876180911346,-0.00012085876180911346,0.99951652864906,0.0006350290595513083,0.0006352307331918272,0.0009971831862577549,0.6408549233424811
7,0.11666666666666667,1.0008082776453218,0.0006870924030494163,0.0006870924030494163,0.9995259926155385,0.0008079511648585297,0.0008082776453217644,0.00017292210530722143,0.6257448347851082
8,0.13333333333333333,1.0007751588824365,0.0014619510050061179,0.0014619510050061179,0.9999013285222002,0.0007748586019567017,0.0007751588824365108,3.309256290182799e-05,0.6018871278821686
9,0.15,1.0007991875817455,0.0022608194064015013,0.0022608194064015013,1.000227716177321,0.0007988684013953833,0.0007991875817454641,2.400979943868156e-05,0.5872356673817576
10,0.16666666666666666,1.0006797753623395,0.002940363826122895,0.002940363826122895,1.0004671619436103,0.0006795444197213936,0.0006797753623395408,0.00011932398167398967,0.5837233406820415
11,0.18333333333333332,1.0007391575388647,0.0036792483225932086,0.0036792483225932086,1.0003222669814742,0.0007388844964703136,0.0007391575388646654,5.934007674892e-05,0.566361599203981
12,0.2,0.999597904942849,0.0032770724035478247,0.0032770724035478247,1.0006196039461548,-0.000402175919045384,-0.00040209505715105287,0.0011410604155156975,0.528385440920606
13,0.21666666666666667,1.0001310948018813,0.00340815861325654,0.00340815861325654,1.0004819453920155,0.00013108620970871514,0.00013109480188133737,0.0005332621287540991,0.5865222113515124
14,0.23333333333333334,1.0006195140802538,0.004027480873881789,0.004027480873881789,0.9999790766937137,0.000619322260625249,0.0006195140802538468,0.00048823605091653387,0.5629899920946286
15,0.25,1.0002983104389664,0.004325746827136048,0.004325746827136048,1.0009056561746419,0.0002982659532542594,0.0002983104389664426,0.00032105630737098957,0.6219019510716568
16,0.26666666666666666,1.0006045590140389,0.004930123168994573,0.004930123168994573,1.0007925390368861,0.0006043763418585253,0.0006045590140388857,0.0003061103886042659,0.6730326351118676
17,0.2833333333333333,1.0008019158299768,0.005731717636264604,0.005731717636264604,0.9999610510558204,0.0008015944672700306,0.0008019158299767959,0.00019721812541150527,0.6473775236694901
18,0.3,1.0009769806131554,0.006708221314472983,0.006708221314472983,0.9996727447039361,0.000976503678208378,0.0009769806131554315,0.0001749092109383474,0.6665806831548243
